MeSH Code,UMLS Code
D020226,C0270638
D020227,C0751827
D020300,C0751893
D020198,C0751797
D006407,C0238154
D006408,C0018946
D020200,C0749095
D010899,C0032001
D020301,C0751895
D007562,C0022336
D004679,C0014070
D008590,C0025309
D004831,C0438414
D020190,C0270853
D017029,C0085417
D019305,C0376532
D004833,C0014558
D004830,C0014549
D013036,C0546878
D012640,C3495874
D003294,C0751057
D013226,C0393734
D020773,C0393735
D020325,C0154723
D007027,C0751230
D007849,C0023138
D010900,C0032002
D006966,C0020514
D007177,C0021141
D002534,C0995195
D019586,C0151740
D020343,C0151620
D054038,C0878576
D011559,C0033845
D013353,C0038538
D008581,C0025289
D016098,C0017495
D017204,C0162635
D020820,C0454606
D002819,C0393584
D004409,C0751088
D014103,C0152116
D013981,C0751553
D015835,C0155339
D013119,C0751515
D020760,C0752129
D020434,C0751940
D005155,C0270871
D009759,C0344243
D009886,C0339693
D009901,C0751402
D009896,C0029124
D009902,C0524679
D010211,C0919308
D009421,C0497552
D020785,C0752153
D054220,C5691433
D000757,C0431349
D001139,C0750929
D004677,C0393983
D008588,C1261470
D008591,C0751316
D016136,C0080174
D009472,C0022340
D002559,C0007815
D003655,C0751070
D001264,C0004158
D002375,C0233612
D004421,C0013421
D006948,C3887506
D011595,C3887612
D014202,C0751564
D008580,C0025287
D013064,C0751512
D004401,C0454596
D009155,C0026884
D003221,C0233407
D003128,C0860634
D053609,C0023380
D000648,C0002624
D005600,C0751157
D011218,C0265222
D020078,C0600467
D005207,C0541957
D009122,C0026826
D009222,C0700153
D014313,C0343495
D017116,C0751648
D005157,C0751135
D012585,C0036396
D006429,C0392550
D010264,C0278114
D011782,C0270790
D010291,C0030552
D020335,C0278118
D012678,C0036659
D006930,C0458247
D020795,C0085636
D012607,C0544679
D001750,C0005697
D020516,C0270896
D020426,C0751925
D009408,C0027743
D009443,C0027813
D000699,C0002768
D011128,C0032586
D011843,C0034544
D020258,C0154659
D000425,C0001940
D012892,C0751506
D002385,C0007384
D020187,C0751772
D013009,C0037672
D012887,C0751504
D003231,C0009763
D007637,C0022573
D010390,C0030804
D014985,C0043349
D003316,C0010034
D015715,C0010037
D007640,C0022578
D008850,C0026010
D012166,C0035317
D005141,C0015423
D007766,C0022904
D005901,C0017601
D009916,C0029182
D005094,C0015300
D054517,C0149507
D015878,C0026961
D009216,C0027092
D008268,C0024437
D031300,C0152026
D012173,C0154874
D002825,C0008513
D015882,C0035319
D015422,C0036412
D015423,C0027547
D015862,C0008521
D002833,C0008526
D015863,C0022073
D014605,C0042164
D015864,C0030343
D014606,C0042165
D015866,C0042167
D005832,C0017412
D004823,C0014534
D010409,C0030846
D011469,C0033575
D007172,C0242350
D013086,C0037856
D013733,C0039584
D003456,C0431664
D009920,C0029191
D012734,C0019269
D047808,C0302280
D006059,C0018051
D014424,C1527168
D007713,C0543754
D014570,C0042075
D001002,C0003460
D018500,C1563706
D003928,C4759705
D006869,C0020295
D006978,C0018036
D007673,C0022656
D052177,C0022679
D016891,C0085413
D007681,C0022667
D009393,C0027697
D005922,C0017661
D015432,C0017662
D015433,C1704378
D005923,C0086432
D008181,C0024143
D011704,C0034186
D011705,C0034188
D011702,C0034183
D007669,C0022650
D009402,C0027721
D009404,C0027726
D010501,C0031065
D012078,C0035066
D051437,C0035078
D007683,C0022672
D000141,C0001126
D056929,C0221043
D000608,C0002534
D003555,C0010691
D006463,C0019061
D014517,C0041956
D014518,C0041960
D014514,C1456865
D014522,C0041969
D014524,C0041972
D001748,C0005694
D014526,C0041976
D001745,C0005686
D003556,C0010692
D014718,C5232302
D014555,C0042035
D006417,C0018965
D009846,C0028961
D011141,C0032617
D000419,C0001925
D006456,C0019048
D014549,C0042024
D016055,C0080274
D052878,C0451641
D014545,C0042018
D005831,C0017411
D000291,C0001576
D005184,C0015556
D012488,C0036130
D010049,C0029928
D009869,C0029051
D016471,C0085083
D004716,C0014179
D004715,C0014175
D007247,C0341869
D014591,C0042131
D055112,C0034215
D002577,C0007867
D014597,C0042143
D014595,C0042139
D014623,C0042251
D019522,C0227791
D014627,C0042267
D014845,C0042994
D011539,C0033778
D000022,C0000822
D000030,C0000814
D000034,C0000823
D020964,C0752350
D016640,C0085207
D005313,C2718076
D005327,C0015951
D002821,C0002631
D004899,C0014761
D005317,C0015934
D004461,C0013537
D011225,C0032914
D007744,C0022865
D005322,C1566302
D007752,C0022876
D010921,C0032044
D010923,C0032046
D018457,C0242669
D004619,C0013927
D011254,C0032969
D011271,C0032987
D011269,C0032984
D011297,C0033054
D008413,C0024894
D018376,C0243050
D001017,C0003492
D003310,C0009995
D003330,C0010074
D004541,C0013743
D006345,C0018818
D013771,C0039685
D054079,C0158570
D001165,C0003857
D001164,C1956223
D016157,C0080304
D053840,C1721096
D018879,C0151636
D006327,C0004331
D008133,C0151878
D014927,C0043202
D013614,C0242513
D013616,C0039239
D017180,C0030590
D016171,C0040479
D014693,C0042510
D054141,C0152173
D002303,C0007166
D002305,C0007177
D002311,C1449563
D017379,C0149721
D002312,C0007194
D015428,C0027055
D009205,C0027059
D004696,C1541923
D016757,C0085298
D006342,C0018814
D018658,C1956158
D006349,C0018824
D001022,C0003504
D001024,C0003507
D008944,C0026266
D008946,C0026269
D011665,C0034088
D054058,C0948089
D023921,C0242231
D003328,C0010072
D056988,C0262564
D012770,C0036980
D010490,C0031039
D010493,C1167732
D010494,C0031876
D011185,C0032760
D011660,C0034072
D018754,C0242973
D054549,C1739395
D000783,C0002940
D000784,C0340643
D017541,C1510412
D017542,C0162869
D001019,C0741160
D001014,C0003486
D017544,C0162871
D017545,C0162872
D017543,C0162870
D000798,C0002992
D000799,C0002994
D001018,C0003493
D013625,C0003510
D001025,C0003509
D001157,C0264995
D001161,C0003850
D001162,C0003851
D058729,C1704436
D007383,C0021775
D013919,C0040021
D001167,C0003860
D004692,C0014100
D010488,C0086254
D019559,C0343084
D003925,C0025945
D017719,C1456868
D004617,C0013922
D004618,C0013926
D004620,C0013928
D017700,C0149649
D013923,C0040038
D013927,C0087086
D020246,C0042487
D013924,C0031556
D011561,C1867450
D012790,C0037018
D006974,C0020540
D016491,C0085096
D004916,C0014804
D010689,C0031542
D011928,C0034734
D015427,C0035126
D013159,C0037998
D014647,C0042344
D056647,C0264939
D015267,C0008728
D018366,C0151436
D005199,C0015625
D000745,C0002881
D000742,C1306589
D000755,C0002895
D006450,C0019034
D012805,C0037054
D004612,C0013902
D005955,C2939465
D006445,C0019021
D013103,C0037889
D013789,C0039730
D017085,C0002312
D006457,C0024790
D018798,C0162316
D000748,C0002886
D000752,C0002892
D000753,C0002893
D000754,C0002894
D000756,C0002896
D001778,C0005779
D000347,C2584774
D014842,C1848525
D004211,C0012739
D004438,C0013491
D055665,C0085650
D011696,C0857305
D016553,C0398650
D011697,C1956258
D013920,C3489628
D001787,C0005806
D012203,C0035404
D013921,C0040034
D013922,C0836924
D001796,C0005830
D000361,C0001768
D017099,C0162539
D006942,C0020455
D008998,C0026470
D007019,C0020639
D001855,C0005956
D009190,C2713368
D009196,C0027022
D007955,C0023501
D011087,C0032463
D055728,C0001815
D006453,C0019045
D006474,C0019087
D000796,C1368797
D017681,C1540912
D008218,C0024282
D007970,C0023530
D000380,C0001824
D009503,C0027947
D008231,C0024312
D018344,C0206744
D018921,C0282548
D010381,C3179244
D010585,C0031306
D002609,C0007965
D006105,C3661525
D008708,C0025637
D010198,C0030312
D011086,C0032461
D015614,C0019618
D015616,C0019624
D031249,C0878675
D015618,C0019625
D051359,C0019068
D020042,C0398367
D008205,C0024225
D008209,C1704423
D004604,C0544766
D008232,C0549463
D006099,C0018188
D014608,C0042171
D015275,C0041364
D019310,C0221269
D006971,C0002897
D013161,C0038000
D013952,C0040115
D000013,C0000768
D000014,C0000771
D004476,C1706004
D053358,C0162359
D007184,C0021171
D000016,C0000773
D025063,C0969687
D012857,C0037221
D000169,C0001197
D007057,C0020757
D019339,C0235752
D016116,C0080024
D056660,C0751422
D056587,C0343068
D010505,C0031069
D002239,C0007001
D006008,C0017919
D006012,C0017924
D009085,C0026707
D009087,C0026709
D008052,C0023772
D007009,C0020623
D015217,C0008384
D015223,C0043208
D011686,C0034139
D007644,C0022595
D003876,C0086196
D007232,C0021290
D001238,C0004045
D001720,C0005604
D007567,C1565887
D007235,C0021295
D009357,C0027609
D008178,C0024137
D008179,C0024138
D008947,C0026272
D017520,C0162855
D009230,C0027145
D012592,C0036413
D015434,C0030331
D010201,C0030328
D000152,C0001144
D056150,C0877055
D001941,C0006145
D017577,C0423772
D003872,C0011603
D003877,C0162351
D017449,C0162820
D003963,C0011974
D009783,C0086457
D003873,C0011606
D003874,C0011608
D019557,C0263449
D012628,C0036508
D004893,C0014743
D012713,C0036830
D004485,C0013595
D009450,C0027822
D011855,C0034561
D004890,C0041834
D004892,C0014742
D016463,C0085077
D005148,C0015704
D005533,C0016509
D005499,C0016436
D007039,C0020678
D000505,C0002170
D006229,C0018567
D007636,C0022572
D007868,C0023219
D008068,C0023801
D009260,C0027339
D010787,C0031762
D013471,C0038814
D011536,C0033771
D011537,C0033774
D011711,C0034212
D017511,C0085652
D012393,C0406486
D012536,C0036271
D017444,C0162818
D017512,C0162848
D017514,C0162850
D010267,C0030491
D010915,C0032024
D017445,C0162819
D012872,C0080159
D000051,C0000887
D001768,C0005758
D010391,C0030805
D010392,C0030809
D012883,C0037299
D007871,C0023223
D003668,C0011127
D013543,C0038986
D016575,C0085160
D006945,C0020458
D007007,C0020620
D008883,C0026113
D008659,C0025517
D000137,C0001118
D000138,C0001122
D007662,C0022638
D002114,C0006663
D006996,C0020598
D003920,C0011849
D011236,C0362046
D019190,C0282193
D006486,C0019114
D014973,C0043325
D010760,C0031707
D017674,C0085682
D014883,C0043065
D003681,C1136135
D006947,C0020461
D014869,C0043049
D015362,C1257753
D007228,C1257752
D044342,C0162429
D014802,C0042842
D005494,C0016412
D013832,C0039841
D026681,C1527330
D011191,C0032827
D011502,C0033677
D013217,C0038187
D009767,C0028756
D006944,C0020457
D007006,C0271623
D010279,C0030517
D007011,C0342342
D013971,C0040156
D013966,C0040147
D050031,C0677607
D013968,C0040149
D006086,C0018133
D006969,C0020523
D000707,C0002792
D016269,C0079840
D007105,C0020951
D001183,C0003907
D054019,C1619738
D007153,C0021051
D017074,C2936664
D018370,C0242597
D055501,C1096155
D019873,C0524988
D040921,C0038441
D005162,C0015480
D019958,C0029121
D001289,C1263846
D002659,C0008074
D001321,C0004352
D012560,C0036344
D012562,C0036347
D013001,C0037650
D002137,C0006736
D002828,C0008519
D003251,C1261287
D004240,C1510475
D004241,C0012811
D005146,C1306710
D005402,C0016169
D006552,C0019295
D006548,C0019284
D006549,C0019285
D006551,C3489393
D013163,C0038002
D011127,C0032584
D001201,C0003962
D002869,C0008625
D009006,C0026499
D048629,C1449861
D012729,C0036868
D001237,C0004044
D013398,C0038644
D004332,C0013142
D004194,C0012634
D000208,C0001314
D002908,C0008679
D016638,C0010340
D004198,C0012655
D004200,C0012675
D004630,C2745965
D019066,C0282631
D007049,C0020732
D035583,C0920627
D004646,C0013990
D013352,C0038536
D005119,C0015378
D002921,C2004491
D000267,C0001511
D012185,C0031022
D015745,C0018193
D006104,C0018199
D051261,C0399496
D005183,C0015544
D006470,C0019080
D016063,C0079027
D019106,C0032788
D012771,C0036982
D006932,C0020433
D041781,C0022354
D033461,C0740394
D020896,C0546884
D000210,C0001349
D005549,C0016549
D012700,C0036749
D018746,C0242966
D007431,C0021890
D007238,C0021308
D020347,C0023869
D008287,C0024525
D011293,C0033046
D005218,C0015668
D005734,C0017086
D009999,C0029396
D010149,C0030201
D020250,C0520904
D013529,C0038940
D012188,C0035361
D012769,C0036974
D009102,C0026766
D012774,C0036986
D014456,C0041582
D016710,C0085257
D000382,C0001828
D018923,C0282550
D000435,C0001969
D019969,C0236733
D019970,C0009171
D002189,C0006868
D006556,C0019337
D009021,C0026552
D001733,C0005658
D007299,C0021564
D012909,C0037379
D013986,C0040198
D002105,C0006635
D020230,C0699828
D004881,C0014714
D005517,C0679360
D005739,C0017107
D010939,C0032087
D015819,C0086182
D000007,C0848377
D000673,C0002694
D011885,C0034628
D013124,C0037937
D016103,C0080179
D001469,C0004760
D001753,C0005700
D003665,C0011119
D002057,C0006435
D002058,C0006436
D002059,C0006437
D015208,C0037367
D003288,C0009938
D015168,C0023702
D005547,C1532195
D005548,C0016548
D050723,C0332712
D005264,C0015802
D005596,C0524598
D005597,C0016662
D005598,C0016663
D012253,C0035522
D018882,C1399682
D006359,C0018839
D018883,C0018843
D013474,C0038819
D007869,C0023220
D018409,C0406185
D009104,C0026771
D012652,C0036601
D012090,C0035127
D013708,C0039504
D013898,C0039980
D006335,C0007172
D014949,C0043253
D014950,C0043254
D014948,C0043252
D014951,C0043255
D016602,C0085178
D015821,C0015405
D016720,C0276908
D009807,C0341038
D054740,C1260325
D015458,C0023492
D008203,C0024223
D018192,C0751674
D054391,C0392788
D018194,C0206622
D051677,C0334463
D006607,C0019522
D018252,C0206673
D003536,C0010631
D009383,C0027668
D005266,C0015807
D013544,C0038987
D011252,C0032966
D015576,C0020492
D025241,C0949690
D010855,C0031900
D015207,C0029410
D008105,C0023892
D005757,C0017154
D006396,C0018926
D008532,C0025162
D005235,C2718067
D006465,C0019065
D009066,C0026644
D005929,C0017677
D000848,C3489529
D003773,C0011389
D014095,C0040456
D011668,C0034091
D004844,C0014591
D015837,C0042594
D009542,C0028064
D012618,C0036489
D020176,C0268486
D002341,C0750989
D014653,C0042376
D006850,C0020258
D006941,C0751215
D017769,C0393886
D003607,C0155223
D012164,C0035309
D001747,C0005690
D007690,C0022680
D015499,C0035091
D001744,C0005683
D006831,C0020224
D014339,C0041207
D011666,C1956257
D000788,C0002963
D014694,C0042512
D001015,C0003490
D055953,C2347126
D012010,C0034902
D014813,C0042880
D017890,C0206369
D040181,C1138434
D008010,C0023646
D006962,C0020503
D006044,C0018023
D006045,C0021897
D003291,C0009946
D005355,C1623038
D012183,C0333458
D006230,C0018571
D022125,C0043246
D054969,C0013363
D020814,C0338395
D013589,C0003511
D004154,C0012517
D007942,C0023441
D013945,C0205969
D002817,C0008487
D000130,C0001080
D007870,C0023221
D009209,C3179196
D016142,C0431362
D005242,C0015732
D006819,C0020192
D007040,C3203358
D004426,C0013446
D006317,C1148522
D004681,C0014072
D009444,C0027814
D020211,C0238015
D020236,C0338591
D038261,C0270726
D006712,C0751202
D014899,C0043121
D020199,C0749098
D017034,C0085541
D020195,C0278193
D020178,C0877792
D055673,C0796147
D007331,C0021645
D009123,C0026825
D011681,C0271131
D020886,C0752257
D013901,C1956395
D020196,C0751793
D005131,C0015408
D005902,C0017612
D051436,C1561643
D047928,C0151526
D011250,C0032964
D006332,C1383860
D058687,C2936490
D003329,C0010073
D018487,C1277187
D006940,C0178824
D005330,C2909036
D006475,C0019088
D012593,C0036415
D000592,C0002514
D008664,C0025534
D007102,C0020941
D000140,C0001125
D010383,C0030783
D007732,C0022806
D048909,C0342257
D011629,C0034013
D018777,C0242992
D021184,C0577620
D003643,C0376297
D012773,C0036984
D002252,C0392622
D036841,C0008775
D019567,C0004601
D001734,C0005660
D015701,C0027516
D004556,C1556061
D006620,C5690870
D018460,C0476171
D015775,C4704922
D005627,C0016736
D002647,C0008058
D005383,C0016124
D016512,C0085111
D003444,C0010392
D003235,C0009770
D014141,C0040592
D007639,C0022576
D001885,C0006015
D045826,C1258223
D005892,C0017575
D012766,C0036969
D015441,C0023351
D014379,C0041306
D012830,C0037118
D016863,C0085389
D004889,C0014736
D013554,C0039007
D015231,C0036917
D013145,C0037974
D003320,C0010043
D002179,C0006846
D016890,C0085412
D020241,C0153064
D016262,C0080040
D011557,C0033839
D018173,C0206602
D008380,C0024793
D000453,C0002016
D027601,C0949804
D004474,C0013570
D004482,C0013591
D009234,C0027152
D006524,C0019194
D001117,C0205671
D018175,C0206606
D001882,C0006008
D001890,C0006023
D018186,C0206615
D018174,C0206604
D003333,C0010078
D004753,C0014342
D005761,C0017162
D001353,C0004421
D016181,C0079335
D039682,C1136321
D019053,C0282616
D019247,C0343755
D011021,C0032306
D016582,C0085164
D016183,C0079864
D012410,C0035921
D020808,C0752182
D015827,C0029002
D014126,C0040561
D004169,C0012561
D006925,C0020413
D013622,C5392955
D006374,C0018891
D004022,C0012118
D004184,C0012602
D005213,C0015655
D009349,C0027583
D001198,C0003952
D010123,C0030100
D017205,C0162636
D004320,C0013100
D000724,C0002831
D009332,C0027528
D009814,C0028887
D014252,C0040947
D006188,C0018477
D014253,C0040948
D004451,C0013514
D010273,C0030500
D011529,C0033741
D012523,C0036231
D002598,C0007930
D014247,C0040923
D004478,C0013578
D012532,C0024710
D013955,C0040124
D007939,C0023420
D007940,C0023421
D007941,C0023429
D015461,C0023494
D007952,C0023484
D007953,C0023488
D018193,C0206764
D018197,C0206624
D009372,C0027656
D002812,C0936248
D002813,C0008479
D018212,C0206638
D012515,C0036221
D018216,C0206641
D005097,C0015306
D000232,C0001422
D018226,C0206650
D009214,C0027086
D018235,C0206658
D012511,C0036213
D012510,C0036211
D017599,C0206093
D018302,C0751677
D005729,C0017075
D018276,C0206693
D003969,C0086768
D014328,C0751567
D007516,C0022134
D007340,C0021670
D018248,C0206669
D018256,C0206677
D018293,C0206709
D018263,C0206682
D002293,C0007135
D018268,C0206686
D002285,C1332347
D005935,C0017689
D018277,C0206694
D018283,C0206700
D019048,C0282612
D002287,C0007128
D018287,C0206704
D018827,C0243038
D018300,C0206713
D018312,C0206724
D006106,C0018206
D018311,C0024167
D007984,C0023601
D012707,C0036769
D009455,C0027830
D018318,C0206728
D009456,C0027831
D009463,C0027858
D009506,C0027960
D009507,C0027961
D007573,C0022364
D010157,C0030215
D009669,C0751394
D046152,C3179349
D009377,C0027662
D018813,C0025268
D009347,C0027577
D014604,C0042162
D002830,C0008523
D007972,C0023532
D010039,C0029897
D009423,C0027766
D020295,C0751886
D002528,C0007762
D015173,C0038874
D003390,C0153644
D012626,C0036503
D012142,C0035244
D014625,C0042237
D002284,C0007122
D009381,C0027666
D009361,C0027626
D015043,C0043515
D011230,C0282313
D004393,C0013338
D013796,C0039743
D003394,C2931196
D012415,C0035934
D003398,C1833340
D013576,C0039075
D005660,C0016842
D002806,C0282102
D002973,C0008928
D004613,C0013903
D005357,C4704884
D005359,C0242292
D006957,C4721789
D010026,C0029464
D018488,C0242699
D009081,C0033788
D010018,C3887650
D053716,C1721053
D011547,C3494506
D011556,C0033835
D017760,C0206231
D016301,C0002382
D004839,C0014571
D005096,C1442903
D010004,C2674695
D012544,C0036310
D013121,C0037932
D008141,C0024003
D055013,C1442869
D013168,C5545315
D036981,C1136148
D005530,C0025585
D005413,C0152237
D005531,C0016507
D006215,C0018536
D037081,C1136154
D006228,C0018566
D011378,C0033324
D008336,C0024689
D017271,C0079173
D000844,C0003090
D020370,C0409959
D001177,C0003892
D057925,C2936290
D006618,C4551649
D007593,C0022410
D020386,C0242287
D020966,C0752352
D049288,C0686353
D020914,C0175709
D017696,C0546125
D010245,C0030443
D052256,C1568272
D009139,C0151491
D004062,C0220704
D009634,C1527404
D017880,C0206762
D004480,C0031575
D017689,C0152427
D001656,C1855284
D016738,C0085280
D001006,C0003466
D004933,C0014850
D007409,C0021828
D005747,C0017128
D010185,C0030290
D015154,C0014858
D011004,C0032249
D004942,C0014869
D003109,C0009374
D000343,C0001727
D001765,C0005750
D012778,C0036992
D013182,C0038054
D045602,C0038238
D011006,C0032266
D011504,C0033680
D000126,C0001075
D018589,C0152020
D006504,C0019156
D020065,C0600452
D008106,C0023893
D006472,C0029163
D005882,C0017577
D019214,C0376480
D005885,C0017566
D055113,C0266929
D010514,C0031094
D014085,C0040444
D014987,C0043352
D013282,C0038364
D008260,C0024421
D014096,C0162475
D003728,C0011330
D003784,C1527284
D003789,C0011406
D009050,C0026618
D008310,C0242385
D003769,C0011385
D008311,C0399523
D008312,C0024638
D003750,C0011360
D014075,C0040434
D014072,C0040428
D014077,C5691421
D014091,C0040451
D012391,C0035851
D001250,C0015263
D007819,C0023052
D007829,C0340228
D014826,C0542142
D006685,C0751201
D010547,C0031190
D012806,C0037061
D017564,C0206063
D008471,C0025048
D001997,C0006287
D006468,C0019077
D020181,C0751761
D010845,C0031880
D002639,C0008039
D009058,C0026635
D006316,C0018780
D011304,C0033074
D015834,C0009197
D010040,C0029899
D001304,C0004303
D001308,C0750942
D020278,C0751875
D020720,C0752087
D002422,C0007462
D012019,C0034931
D019578,C0393571
D019462,C0751721
D013547,C0162473
D020144,C0751739
D004422,C0013423
D009849,C0751398
D005879,C0040517
D020208,C0751813
D017825,C3542499
D007965,C0023521
D007926,C0023374
D012497,C0751491
D013661,C1848922
D052556,C0268247
D008375,C0751285
D009800,C0028860
D018901,C0751708
D012035,C0034960
D017042,C0085547
D020163,C0268542
D007647,C0022610
D017827,C0751668
D005621,C0016719
D015161,C0022958
D013349,C0751531
D020212,C0751816
D015140,C0393561
D002539,C0007774
D007969,C0023529
D057180,C0338451
D020774,C0236642
D004678,C0014068
D020194,C0751785
D020788,C0752166
D006964,C0751221
D047748,C0221406
D017096,C0162534
D016643,C0085209
D012608,C0036457
D009134,C0026847
D014897,C0700595
D020220,C0751820
D020331,C0221060
D020437,C0751945
D029241,C0338508
D020433,C0393789
D006832,C0431383
D020271,C0751870
D015518,C0035372
D016472,C0085084
D010244,C0393540
D024801,C0949664
D020323,C0278076
D020233,C0231694
D007805,C0751257
D020915,C0349464
D003410,C0010314
D038901,C1136249
D016532,C0026705
D018980,C0175702
D055948,C0872084
D020270,C0586323
D000857,C0553757
D013651,C5392959
D000370,C0278155
D015354,C0042798
D020511,C0751950
D000170,C0001198
D020422,C0235880
D020423,C0456516
D020430,C0206239
D020269,C0085677
D000430,C0001957
D020263,C0751859
D020264,C0751860
D020149,C0677050
D020262,C0546127
D020919,C0752285
D009290,C0027404
D020923,C0393776
D020197,C0751794
D003229,C0009759
D016510,C0085109
D003318,C0010038
D005124,C0015393
D000853,C0003119
D003103,C0009363
D015792,C0035313
D015785,C0015398
D016115,C0078922
D012174,C0035334
D001762,C0005741
D001035,C5392168
D001036,C0003535
D009798,C0017614
D012030,C0034951
D001251,C1847524
D006956,C0020490
D003930,C0011884
D015356,C0006123
D012162,C0035304
D015861,C5200822
D012178,C0035344
D007246,C4074771
D007021,C0848558
D011317,C0033117
D012735,C0237873
D018783,C0242998
D013088,C0037859
D014564,C0042063
D017588,C0206081
D013734,C0268301
D006061,C0018054
D017436,C1563720
D005611,C0016697
D009394,C0027706
D006959,C0020500
D017044,C0085548
D009397,C0027709
D053040,C0392525
D009400,C0027719
D009401,C0027720
D006030,C3245525
D011546,C0033805
D053099,C0242528
D014515,C0041954
D053201,C0878773
D004775,C0014394
D006029,C0017979
D014550,C0042025
D052776,C1720887
D000858,C0003128
D004714,C0456483
D008595,C0025323
D014596,C0205990
D014848,C0042998
D014719,C0042582
D000033,C0000821
D005320,C0015938
D015160,C0455988
D005311,C0015924
D048070,C1285261
D046110,C0341934
D017359,C0162739
D006939,C0020450
D000037,C0000832
D001946,C0233283
D004420,C0013418
D016104,C0079924
D010927,C0032051
D011273,C0032993
D019052,C2909478
D004374,C0013274
D004437,C0013481
D004694,C0014116
D018636,C0152101
D014188,C5690880
D001146,C0003813
D000219,C0001396
D054537,C0004245
D013612,C0039234
D016534,C0085128
D017380,C0162770
D002310,C0007192
D024741,C0949658
D058065,C0853897
D004719,C0553980
D004489,C0013608
D054144,C1135196
D006341,C1959586
D017566,C0206064
D017682,C0376416
D018497,C0242707
D054179,C0019243
D058246,C1696708
D013684,C1138421
D057772,C0178324
D014689,C0042485
D000751,C0002891
D002836,C0008533
D001791,C0005818
D017098,C0162538
D034141,C0239981
D019851,C0398623
D008201,C0024215
D001506,C0004903
D019082,C0175694
D054463,C1955934
D004820,C0014527
D016108,C0079136
D020138,C0598608
D018981,C0282577
D005953,C0017920
D006010,C0017922
D009083,C0026703
D008059,C0026708
D009084,C0026706
D015323,C0034350
D007566,C0022350
D006950,C0020474
D008072,C0023817
D006938,C1704417
D006952,C0020479
D006953,C0020480
D006954,C0020481
D000012,C0000744
D008064,C0023794
D016464,C0085078
D007014,C0020630
D020642,C2936847
D012873,C0037277
D006554,C1306503
D007627,C0022548
D005348,C0085750
D006177,C1449721
D017453,C0162823
D017484,C0162830
D016523,C0085119
D006628,C0019572
D006983,C0020555
D007642,C0022594
D002145,C0376154
D008548,C0025209
D000052,C0000889
D007911,C0023321
D002115,C0006666
D044882,C1257958
D003923,C0011859
D018149,C0271650
D019189,C0012715
D052439,C0154251
D050171,C0242339
D006951,C0020476
D054559,C0085681
D019282,C0043046
D006986,C0020579
D002796,C0008412
D012257,C0035528
D001602,C0005122
D014811,C0042875
D013540,C0038981
D044343,C1257763
D056128,C2936179
D006058,C0018050
D005058,C0151721
D011628,C0034012
D005067,C0015190
D006043,C0018022
D006981,C0020551
D018382,C2940786
D021183,C0559470
D000379,C0001818
D004213,C0020703
D056912,C0596170
D052018,C2267227
D003303,C0009983
D010842,C0232480
D014256,C0040953
D001010,C0003477
D020817,C0236792
D019959,C0525042
D019957,C0026613
D019956,C0038273
D019263,C4704929
D016574,C0085159
D012569,C0021151
D012563,C0011251
D019968,C0525047
D020018,C0033953
D014189,C0040765
D057215,C0005887
D001284,C0333641
D004108,C0012359
D006550,C0019288
D006555,C0019326
D006553,C0019310
D006984,C0020564
D009264,C0027344
D058225,C2936349
D058226,C0015697
D007417,C0021846
D003111,C0009376
D020257,C0600519
D019457,C0376628
D024182,C0969675
D014997,C0043379
D014178,C0040715
D012298,C0035624
D051799,C1566590
D006965,C0020507
D004412,C0013390
D009839,C0028949
D008679,C0025568
D006083,C0018128
D016711,C0085258
D009293,C0027412
D005458,C0016325
D009145,C0026865
D008630,C0025427
D015651,C0026953
D007842,C0023119
D014029,C0028043
D005543,C0016537
D014458,C0041601
D006810,C0020162
D012783,C0037005
D014954,C0043264
D005129,C0015401
D007572,C0022363
D008337,C0024692
D009917,C0162437
D006617,C0019554
D031222,C1135812
D005265,C0015806
D050815,C0521169
D005599,C0016665
D011542,C0033785
D058866,C0521170
D003100,C0009353
D050724,C1564560
D007718,C0022744
D019838,C0027531
D014911,C0043145
D017695,C0037578
D013180,C0080194
D012749,C0036916
D002181,C0006852
D016921,C0085438
D020330,C0751905
D018242,C0751675
D009508,C0027962
D008342,C0242387
D005532,C0016508
D006227,C0018565
D006484,C0019112
D015211,C3658299
D006314,C0018777
D000160,C0001163
D004834,C0751127
D020936,C0393693
D004948,C0014877
D005099,C0015310
D025962,C0338503
D007806,C0454560
D004410,C0002018
D048949,C0474368
D038642,C0686721
D014823,C0042909
D019773,C0339543
D012163,C0339546
D012167,C0024441
D006848,C1720771
D021782,C1567426
D052065,C2004487
D002581,C0007871
D008796,C0025874
D000027,C0000810
D048968,C0312416
D053589,C1721023
D006559,C0019343
D011274,C0032994
D005687,C3665358
D006343,C0018816
D018633,C0242855
D058529,C1384670
D004695,C0014117
D011026,C0032319
D019320,C0238096
D005331,C0015959
D005173,C0015523
D007020,C4722227
D054098,C3853779
D017490,C3543867
D006011,C0017923
D006933,C0220991
D043202,C1257809
D043204,C0342488
D010246,C0030445
D051556,C0857007
D019955,C5392973
D049292,C0948163
D012598,C0036429
D010623,C0031391
D012784,C0037006
D013341,C0038505
D004414,C1384606
D019687,C0162482
D014593,C0042135
D007715,C0022739
D045729,C1258090
D018347,C0206746
D003551,C0277066
D018278,C0206695
D049913,C1306214
D020786,C2919945
D018246,C0206667
D005142,C0015424
D019574,C1456779
D000182,C0001231
D057767,C2745963
D001471,C1258085
D019449,C0376620
D020047,C0149771
D055397,C2350350
D020326,C0338480
D018781,C0033893
D003027,C0393739
D018917,C0155305
