MeSH Code,UMLS Code
D002544,C0007785
D002546,C0007787
D014715,C0751572
D002340,C0007273
D002537,C0877854
D002543,C2937358
D013345,C0795688
D020521,C0751956
D004827,C0014544
D004828,C0393675
D004829,C0017332
D004832,C0014553
D008881,C0270858
D006849,C0549423
D004652,C0014008
D007018,C0242342
D013786,C0221057
D001100,C0003708
D009069,C0026650
D017109,C0751647
D013118,C0037928
D000690,C0002736
D013117,C0742803
D013595,C3854373
D003389,C0751059
D013285,C0344247
D014277,C0393786
D003711,C0011303
D015419,C4721916
D009436,C0080218
D016135,C0080178
D028227,C0342608
D001259,C0750937
D018476,C0233565
D009207,C0021712
D002389,C0007398
D001037,C0234482
D013342,C0751527
D003693,C0154333
D003244,C0549249
D014474,C0041657
D013575,C0700200
D000647,C0002622
D010468,C0751418
D006212,C0544668
D011596,C5441816
D001072,C3495144
D009133,C0026846
D013035,C0235229
D013746,C0917812
D001416,C0750949
D006261,C0877781
D019547,C0007859
D009437,C0027796
D010148,C0030200
D010243,C0234544
D012021,C0277850
D004244,C0220870
D006987,C0020580
D010292,C0392699
D014786,C3665347
D001766,C1879328
D004172,C0271186
D010523,C4721453
D020968,C0221759
D003929,C0393835
D002349,C0007286
D011115,C0393851
D020261,C0751851
D006970,C0917799
D012148,C0035258
D006259,C0751181
D016489,C0085094
D003233,C0022577
D007634,C0022568
D001763,C0005745
D015352,C5197850
D006111,C0018213
D009845,C0028960
D011470,C1704272
D011472,C0033581
D000312,C0001627
D003919,C0011848
D020790,C0687720
D005198,C0341703
D009395,C0027707
D058186,C0022660
D007676,C0022661
D001477,C0004775
D053579,C0268450
D007015,C0282201
D011507,C0033687
D014592,C0042134
D011248,C5545313
D005315,C0013949
D006473,C0269899
D010922,C0032045
D011249,C0032963
D011644,C0034040
D007775,C0022927
D006330,C0018798
D006344,C0018817
D006331,C0018799
D001145,C0003811
D012804,C0428908
D001281,C3468561
D001282,C0004239
D001919,C0428977
D005117,C0340464
D002037,C0006384
D013610,C0080203
D013617,C0039240
D006322,C0018789
D006333,C0018801
D008945,C0026267
D014262,C0040961
D000787,C0002962
D000789,C0086666
D003327,C0010068
D003323,C0010051
D009203,C0027051
D054556,C1861172
D003449,C0010403
D004535,C0013720
D012614,C0036474
D013683,C0039445
D007022,C0020649
D014648,C0042345
D014657,C0042384
D009080,C0026691
D006402,C0018939
D000740,C0002871
D000741,C0178416
D000743,C0002878
D000744,C0175816
D017086,C0085578
D000747,C0002884
D000749,C0002888
D006467,C3494186
D014923,C0043194
D011693,C0034150
D004406,C0013374
D010265,C0030489
D004802,C0014457
D007964,C0023518
D008206,C0024228
D008199,C0001416
D007119,C0020981
D012507,C0036202
D013158,C0037997
D005633,C0016751
D003554,C2931187
D006432,C0392514
D011164,C0032708
D008180,C0024141
D017454,C0162824
D003875,C0406537
D005076,C0015230
D000506,C0002171
D010859,C0022283
D017495,C0162834
D011565,C0030246
D014581,C0042109
D016883,C0011880
D000471,C0002063
D006934,C0026141
D003922,C0342302
D006946,C1257963
D007003,C0271708
D006937,C0020443
D000686,C0002726
D006955,C0020488
D007008,C0020621
D007010,C0020625
D009748,C3714509
D003677,C0011156
D001361,C1510471
D001206,C0003969
D014804,C0042850
D014806,C0042847
D008275,C0024473
D011488,C0033626
D000307,C0001621
D000309,C0001623
D000224,C0001403
D000308,C0001622
D003480,C0010481
D006929,C1384514
D003926,C1263960
D006961,C0020502
D049950,C0221002
D016884,C0085859
D013959,C0040128
D006042,C0018021
D006980,C3714618
D013958,C0040127
D007037,C3665349
D013967,C0920350
D016736,C0085278
D006967,C1527304
D004342,C0013182
D018876,C0282504
D018877,C0037050
D006968,C0020522
D005512,C0016470
D000275,C0001546
D001008,C0376280
D009449,C0027821
D009771,C0028768
D016584,C0086769
D010698,C0031570
D000856,C0003125
D009110,C0026785
D002653,C0008066
D012561,C0036346
D019964,C0525045
D000341,C0001723
D001714,C0005586
D003866,C0086133
D003865,C1571984
D009497,C0027932
D010554,C0027402
D000987,C0233523
D001883,C0006012
D006677,C0019681
D007046,C0086441
D012557,C0036339
D010259,C1456784
D011618,C0033958
D012559,C0036341
D006998,C0020604
D009440,C0027804
D019966,C0740858
D014314,C1297882
D006406,C0018944
D022124,C0220994
D007565,C0242183
D008599,C0032519
D000568,C0032796
D009336,C0027540
D011183,C0032787
D008305,C0024591
D011604,C0033936
D011041,C0032343
D002249,C0007020
D007855,C0023176
D011605,C0033941
D013375,C0086189
D002056,C0006434
D005151,C0015459
D001630,C1321580
D013978,C2862185
D001424,C0004623
D020806,C0752180
D001922,C0006105
D013354,C0038539
D020802,C0270629
D016920,C0085437
D008583,C0917807
D008584,C0343442
D008586,C0751312
D014390,C0751568
D009494,C0343686
D004697,C0014121
D004698,C0014122
D015818,C0015404
D003234,C0009768
D014392,C0041322
D018934,C0238419
D016905,C0085423
D000711,C0018476
D016873,C0343771
D006357,C0018835
D016866,C0085392
D001442,C0004669
D001474,C0029307
D016917,C0343770
D002372,C0007361
D014205,C0040830
D014917,C0043167
D001899,C0006035
D008193,C0024198
D015787,C0014740
D012061,C0035021
D019121,C0282677
D008554,C0025229
D002169,C0006818
D002690,C0008149
D023521,C0887976
D004756,C0014347
D004405,C1257869
D004927,C0014836
D007710,C0022729
D011512,C0033700
D012480,C0036117
D010284,C0030528
D012478,C0036114
D012481,C0036118
D016868,C0085394
D015009,C0238528
D010930,C0032064
D015012,C0043410
D005674,C0027537
D057831,C0343525
D011906,C0034686
D007876,C0023240
D007877,C0023241
D007922,C0023364
D014895,C0043102
D045828,C1258225
D000151,C0001139
D009180,C0026945
D009175,C0026936
D011002,C0032243
D011019,C0032302
D016869,C0085395
D016870,C0085396
D006069,C0018081
D000189,C0001249
D006192,C2028293
D010326,C0030636
D011552,C0033817
D011778,C1443892
D012288,C0035592
D012282,C0035585
D001907,C0006060
D012373,C0035793
D014437,C0041472
D014438,C0006181
D012612,C0036472
D017282,C0162699
D014211,C0004945
D002601,C0007939
D013590,C0020186
D013591,C0039132
D013592,C0039133
D014735,C0042636
D002771,C0008354
D016908,C0085426
D000193,C0001255
D000196,C0001261
D008061,C0023788
D003354,C0010153
D009164,C0026918
D056006,C1562585
D015440,C0023348
D015439,C0023346
D015270,C0026916
D010283,C0030524
D014395,C0041325
D014375,C0041295
D016862,C0085388
D014380,C0041307
D014381,C0041308
D010495,C0031049
D020306,C0275904
D014382,C0343029
D008177,C0024131
D014385,C0041312
D014386,C0041313
D014387,C0041315
D014388,C0036467
D014391,C0041321
D018088,C0206525
D014393,C0041323
D014394,C0022415
D014396,C0041326
D014400,C0041331
D014401,C0041333
D014384,C0041311
D014389,C0041317
D014398,C0041328
D009617,C0028242
D008271,C2355609
D000881,C0003175
D003015,C0343386
D005738,C0017105
D004887,C1276801
D008088,C0023860
D011023,C0032308
D013202,C0038159
D013207,C0038166
D002270,C0007078
D007169,C0376186
D013206,C0038165
D013290,C0554628
D004473,C0013568
D004886,C0014733
D011008,C0032269
D011018,C0155862
D012541,C0036285
D018410,C0004626
D017192,C0162627
D019115,C0238124
D016585,C0085166
D016781,C0085315
D002494,C0007684
D000785,C0085808
D001170,C0003869
D016918,C0085435
D001850,C0005943
D010000,C0029400
D010019,C0029443
D010522,C0031111
D013166,C0038012
D055499,C0860239
D003141,C0009450
D021821,C0872315
D017714,C0206171
D053717,C1701940
D015817,C0015403
D009877,C0014236
D005490,C0016397
D005491,C0016398
D009894,C0029118
D017088,C0162526
D015163,C0038826
D034161,C0030790
D000292,C0001577
D000031,C0000817
D011645,C0034041
D016459,C0085073
D016724,C0014013
D019446,C0376618
D016469,C0085082
D012772,C0036981
D012874,C0037278
D002481,C0031557
D001759,C0005717
D013174,C0864813
D014005,C4505442
D014006,C0276742
D018461,C0149778
D013492,C0034161
D000038,C0000833
D018784,C0243001
D008100,C0023885
D008101,C1527403
D046290,C0267830
D013369,C0038565
D008169,C0024110
D010482,C0031024
D010508,C0031085
D000039,C0031157
D016659,C0085222
D017703,C0155843
D004653,C0014009
D010035,C0029888
D052880,C1704275
D013969,C0040150
D014115,C0040524
D014552,C0042029
D001437,C0004659
D011776,C0034359
D012553,C1704430
D014946,C0043241
D013530,C0038941
D001228,C0004030
D001229,C0004031
D002177,C0006840
D002180,C0006849
D016919,C0085436
D003047,C0009186
D003453,C3888929
D011020,C1535939
D016881,C0085407
D020096,C0343961
D009091,C0026718
D015047,C0043528
D001102,C0003723
D001819,C0005866
D003715,C0011311
D004671,C0014055
D004670,C0014053
D004672,C0014057
D004674,C0014060
D004675,C0015632
D014901,C0751583
D004683,C0014074
D020242,C0153065
D004685,C0014078
D010217,C0030372
D012295,C0035613
D000357,C0001752
D003121,C0009400
D006479,C0019099
D015004,C0043395
D001990,C0006274
D020805,C0348165
D018792,C0243010
D020803,C0001338
D020804,C0153017
D007968,C0023524
D013344,C0038522
D008216,C0024266
D008582,C0025290
D009187,C0026975
D015493,C0030481
D004266,C0012922
D000257,C0001486
D000258,C0001487
D019694,C0524909
D006566,C0019372
D002644,C0008049
D017726,C0206178
D020031,C0149678
D002051,C4721444
D006561,C0019348
D006558,C0019342
D006560,C0019345
D007617,C0022504
D016849,C0019357
D007635,C0022570
D013283,C0038366
D006562,C0019360
D006563,C0019364
D007241,C0021334
D008304,C0276241
D019349,C0376549
D005077,C0015231
D030361,C0950124
D003218,C0009663
D010322,C0276275
D016731,C0085273
D011213,C0026143
D015605,C0010232
D008166,C0024106
D045908,C0276180
D012899,C0001906
D014615,C0042214
D015828,C0015407
D003236,C0009774
D006525,C0019195
D016751,C0085293
D011024,C0032310
D012327,C0035690
D006478,C0282192
D007835,C0023092
D019350,C0376550
D002044,C0085933
D018778,C0242994
D017250,C0206044
D018177,C0206608
D008146,C0024025
D001912,C0006075
D006691,C0019841
D006482,C0019104
D019142,C0282687
D008379,C0024788
D018184,C0206613
D009521,C0027983
D004216,C0205740
D008457,C0025007
D012301,C0035637
D010253,C3714630
D009107,C0026780
D004810,C0014481
D011818,C0034494
D019318,C0376538
D018352,C0206750
D045169,C1175175
D007251,C0021400
D005585,C0016627
D010850,C0031887
D018188,C0206617
D004769,C0014378
D003384,C0010246
D006232,C0018572
D011000,C0032238
D004457,C0013533
D005536,C0016514
D012088,C0035112
D012400,C0035869
D012192,C0035369
D015490,C0020097
D004859,C0014661
D015526,C0001849
D006679,C0019699
D016097,C0080151
D014036,C0040361
D018354,C0919833
D012409,C0035920
D017193,C0162628
D014412,C0030357
D014766,C0042749
D020807,C0752181
D020019,C5235044
D020818,C0752191
D016779,C0751628
D006373,C0027585
D013031,C0037753
D004445,C0013505
D013319,C0038459
D014120,C0040553
D017189,C0006897
D014235,C2713585
D014257,C0040954
D007815,C0546999
D007816,C0023049
D017129,C0162576
D001196,C0003950
D017229,C0086227
D013322,C0085810
D005368,C0013755
D004605,C0013884
D008118,C0023968
D008368,C3489414
D009855,C0029001
D017206,C0162637
D006725,C0006389
D003003,C0009021
D010237,C0030424
D012554,C0036329
D012555,C0036330
D016776,C0085313
D003457,C0010418
D004404,C0013370
D005873,C0017536
D018512,C0242723
D001404,C0004576
D013801,C0013467
D014124,C0040559
D014354,C0041230
D015597,C0162494
D011528,C0033740
D004749,C0014324
D003048,C0005146
D021866,C0343398
D014125,C0751562
D007896,C0023281
D016773,C0086540
D014352,C0041227
D014355,C0041234
D008289,C0024533
D001742,C0005681
D016780,C0024537
D012876,C0037280
D010373,C0030756
D009198,C0027030
D007000,C0020607
D013984,C0040196
D001845,C0021862
D001994,C0006281
D015529,C1257796
D004814,C0014511
D008210,C0024248
D008476,C0025060
D009078,C0026683
D010048,C0029927
D011085,C0032460
D010181,C0030283
D010192,C0030299
D010864,C0031925
D014496,C0041915
D006222,C0018552
D014402,C0041341
D054747,C0334663
D015448,C2004493
D015451,C0023434
D015456,C0023464
D015463,C0023486
D015459,C0023493
D054198,C0023452
D015452,C0023485
D015464,C0279543
D001752,C0005699
D015466,C0023474
D015479,C0023479
D015477,C0023480
D004915,C0023440
D007947,C0023462
D007948,C0023465
D023981,C4721505
D008202,C0205828
D018191,C0206620
D007161,C0021071
D016393,C0079731
D016483,C0085090
D018442,C0242647
D016403,C0079744
D008230,C0024307
D008224,C1956130
D017728,C0206180
D020522,C4721414
D016399,C0079772
D054446,C1301362
D017731,C0206182
D009182,C0026948
D016411,C0079774
D008949,C0026277
D018196,C0206623
D002296,C0007140
D002279,C0007098
D009396,C0027708
D018202,C0206629
D018335,C0206743
D018203,C0206630
D018207,C0206633
D008080,C0023827
D018209,C0206635
D008415,C0024899
D014582,C0042111
D034721,C0221013
D047708,C1266121
D010016,C0029440
D010017,C0029441
D012516,C0029463
D005350,C0205766
D018221,C0206646
D005354,C0016057
D051642,C1509147
D018219,C0206644
D018227,C0206651
D013584,C0039101
D009379,C0027664
D018231,C0206654
D012208,C0035412
D018232,C0206655
D012509,C1261473
D006394,C0018923
D003557,C0010701
D012513,C0036214
D012517,C0036224
D009373,C0027654
D004407,C0013377
D018239,C0036631
D008649,C0025490
D001254,C0280783
D005909,C0334588
D004806,C0280788
D018316,C0206726
D008527,C0278510
D009447,C0027819
D010871,C0031941
D012175,C0751483
D018358,C0206754
D002276,C0007095
D008303,C0024586
D015266,C0007129
D018328,C0206735
D008546,C0025205
D009464,C0027859
D010235,C0030421
D010236,C0030422
D002345,C0007279
D010673,C0031511
D006828,C0020217
D009375,C0027660
D002759,C0008309
D018254,C0206675
D011125,C2713442
D003537,C0010633
D018291,C0010635
D008654,C0025500
D015175,C0344452
D002282,C0007120
D002288,C0007130
D000231,C0001420
D018270,C0021367
D021441,C0887833
D018275,C0206692
D018281,C0345905
D018284,C0206701
D002280,C4721806
D002286,C0007125
D002278,C0878500
D018288,C0262584
D002295,C0007138
D011553,C0033822
D018307,C0751688
D010212,C0030354
D009380,C0027665
D017253,C0917817
D000794,C0002985
D005918,C0017653
D006391,C0205789
D006390,C0018915
D018323,C0206732
D006392,C0018920
D006393,C0018922
D000008,C0000735
D001859,C0005967
D012888,C0037305
D008339,C0024694
D008441,C0024954
D013125,C0037939
D018567,C0242788
D004067,C0751075
D001661,C0750952
D001650,C0005396
D003138,C0009442
D005706,C0153452
D001063,C0496779
D012811,C0153436
D001005,C0279637
D004379,C0541912
D007078,C0345836
D007580,C0022374
D008114,C0023904
D000310,C0001624
D000306,C0001618
D009384,C0027670
D013736,C1720811
D013964,C0549473
D016606,C0040137
D005134,C0496836
D019572,C0024622
D005887,C0017570
D008048,C0023761
D014062,C0040411
D004428,C0013449
D010255,C0030470
D010610,C0031347
D007012,C0153398
D009303,C0027439
D014067,C0751560
D014134,C0040582
D019046,C0282609
D008325,C0024668
D016543,C0751620
D007029,C0751238
D020863,C0752244
D020361,C0393919
D020363,C0338430
D009188,C0026976
D020362,C0393534
D010524,C0751428
D010386,C0030793
D012983,C0037579
D019043,C0282607
D013160,C0153470
D013899,C0039981
D001984,C0006264
D002283,C0007121
D055613,C0748164
D003074,C2350019
D010997,C0032229
D016066,C0080032
D014565,C0751569
D005833,C0017416
D016889,C0476089
D002583,C0007873
D014846,C0375071
D005834,C0017417
D010412,C0030849
D014516,C0153619
D014523,C0700101
D001749,C0005695
D009376,C0027661
D016609,C0877578
D002472,C0007622
D017254,C0162679
D009362,C0027627
D008207,C0024232
D009382,C0027667
D009360,C0027625
D009365,C0027644
D011289,C0033027
D004392,C0013336
D003409,C0342200
D005877,C0017547
D010009,C3541456
D006958,C0020497
D010013,C0023931
D010022,C3179239
D010015,C0029437
D012279,C0035579
D001862,C0005974
D010014,C4721411
D004803,C0014461
D010001,C0029401
D010005,C0029412
D010020,C0027543
D005271,C0410480
D013128,C0037942
D013130,C0037944
D025242,C0949691
D015535,C0003872
D002357,C0085700
D011081,C0032453
D003025,C0009081
D005534,C0016510
D007571,C0022362
D006101,C0018194
D002972,C1837218
D008844,C0025990
D013705,C0039494
D008439,C0024950
D018771,C0003862
D020069,C0037011
D001169,C0971858
D012218,C0035450
D002805,C0553730
D006073,C0018099
D015210,C0003868
D010489,C0031037
D001176,C0003886
D002062,C0158300
D006395,C0018924
D016916,C0085433
D013585,C0878705
D003161,C0009492
D000868,C0003152
D016603,C0085179
D009127,C0231519
D009128,C0026838
D020388,C3542021
D009223,C0027126
D020512,C0751951
D009221,C0027122
D017285,C0263984
D012206,C0035410
D013717,C0039520
D020139,C0265706
D001649,C0005395
D016767,C0162510
D002779,C0008370
D001651,C0005398
D002780,C0008372
D002761,C0008311
D015209,C0566602
D003137,C0009440
D001655,C0005403
D005705,C0016977
D042101,C0267841
D041881,C0149520
D041882,C0521610
D004065,C0266015
D003965,C0011981
D006627,C0085758
D008467,C0025037
D001658,C0005417
D004937,C0014856
D014138,C0040588
D007412,C0341318
D004935,C0014852
D004931,C0014848
D004932,C0017145
D004939,C0014860
D004940,C0014866
D005759,C0017160
D001064,C0003615
D017091,C0162529
D011350,C1257848
D004238,C0012813
D004403,C0013369
D004751,C0014335
D004382,C3853541
D004760,C0014356
D020345,C0520459
D005758,C0017155
D015212,C0021390
D052016,C0333355
D006471,C0018932
D008551,C0025222
D010438,C0030922
D003108,C0009373
D003112,C0009377
D043963,C0012819
D004239,C0012814
D008531,C0025160
D012810,C0037072
D004378,C0013289
D004380,C0013292
D010439,C0030925
D007077,C0020875
D007415,C0021843
D045823,C1258215
D007418,C0021847
D045822,C0042961
D007416,C0021845
D007579,C0022373
D002446,C0007570
D007787,C0022951
D008641,C0025472
D012002,C0687707
D001004,C0003462
D013276,C0038358
D013271,C0038353
D017219,C0162651
D011707,C1541124
D013275,C0038357
D013277,C0038359
D012202,C0751485
D020518,C0333980
D017093,C0085605
D006501,C0751198
D017114,C0162557
D006502,C0856761
D006519,C0019187
D006520,C0019188
D006521,C0524611
D019693,C0241910
D006527,C0019202
D006529,C0019209
D008104,C0023891
D008108,C0023896
D010382,C0030781
D017118,C0162565
D010182,C0030286
D010195,C0001339
D019283,C0267941
D010532,C0031142
D002915,C0008732
D008640,C0025469
D015436,C0030330
D010538,C1449646
D011027,C0032320
D010485,C0524686
D010484,C0282295
D009059,C0026636
D001528,C0004943
D008047,C0023760
D002971,C0008924
D009056,C0026633
D019226,C0149745
D010510,C0031090
D005891,C0017574
D010518,C0031051
D012466,C0036093
D010305,C0030579
D010309,C0030583
D012793,C0037023
D012798,C0013132
D013364,C0038557
D013280,C1568868
D013262,C0014518
D013281,C0086789
D014060,C0025988
D005928,C0017675
D010608,C0031345
D009302,C0027438
D009304,C0027441
D010612,C0031350
D014069,C0040425
D014071,C0524730
D003744,C5442008
D018126,C0206554
D014076,C0040435
D017001,C0085511
D003731,C1707305
D018677,C0242891
D014098,C0040460
D001982,C0006261
D001983,C0006262
D016535,C0085129
D001986,C0006266
D001987,C0006267
D007619,C0022521
D001991,C0006277
D001988,C0006271
D001989,C2350875
D018549,C0242770
D001996,C0006285
D015769,C0018200
D007818,C0023051
D007826,C0023066
D007827,C0023067
D003440,C2350036
D015615,C2350173
D016726,C0085269
D006469,C0019079
D006976,C0020542
D055732,C2350529
D055744,C0276653
D017563,C0206061
D000542,C0002390
D019867,C0403529
D006646,C0019621
D054990,C1800706
D011009,C0032273
D001195,C0003949
D002095,C0006542
D012829,C0037116
D008173,C0600260
D055370,C5690892
D055371,C0242488
D011001,C0032241
D011015,C0032290
D011017,C0032298
D011649,C0034050
D001261,C0264499
D011654,C0034063
D011655,C0524702
D054060,C0034074
D011656,C0221227
D019568,C0264395
D011657,C0034068
D011658,C0034069
D012127,C0035220
D009668,C0028432
D002754,C0008297
D006103,C0018197
D015508,C0027429
D009298,C0027430
D015522,C0016735
D015523,C0024959
D015524,C0037886
D012220,C0035455
D012221,C0035457
D010995,C0032226
D006876,C0020312
D010996,C0032227
D011030,C0032326
D012120,C0035204
D000532,C3887755
D001049,C0003578
D004418,C1956415
D000472,C0002064
D000142,C0001127
D000402,C0001883
D012133,C0035232
D012130,C0035228
D001998,C0006288
D016156,C0080107
D048090,C1449809
D004826,C0014541
D014136,C0040584
D013896,C0039978
D008477,C0025061
D008478,C0025062
D008480,C0025064
D014133,C0040580
D014135,C0040583
D004427,C0013447
D004433,C0013456
D006311,C0877848
D034381,C1384666
D003638,C0086395
