MeSH Code,UMLS Code
D011645,C0034041
D011218,C0265222
D011247,C0032961
D006929,C1384514
D008105,C0023892
D059607,C0395005
D011371,C0033300
D013494,C0038868
D011471,C0376358
D018455,C0242666
D011655,C0524702
D011660,C0034072
D006976,C0020542
D011666,C1956257
D011668,C0034091
D011704,C0034186
D015324,C0034341
D011818,C0034494
D007681,C0022667
D000472,C0002064
D012202,C0751485
D012206,C0035410
D012213,C0035436
D012295,C0035613
D012373,C0035793
D029597,C4551647
D012393,C0406486
D012400,C0035869
D006933,C0220991
D012409,C0035920
D009084,C0026706
D012532,C0024710
D012544,C0036310
D012552,C0036323
D011618,C0033958
D012585,C0036396
D012607,C0544679
D012614,C0036474
D018805,C0036690
D012713,C0036830
D004405,C1257869
D012778,C0036992
D012852,C0037199
D012878,C0007114
D012891,C0037315
D007414,C0021841
D012909,C0037379
D013001,C0037650
D009134,C0026847
D020754,C0752120
D013180,C0080194
D013262,C0014518
D050497,C0595939
D013274,C0024623
D020521,C0751956
D013322,C0085810
D004698,C0014122
D013345,C0795688
D013436,C0038732
D018614,C0242843
D009879,C0029077
D007177,C0021141
D013587,C0039128
D016399,C0079772
D013622,C5392955
D013661,C1848922
D052256,C1568272
D013736,C1720811
D013742,C0039614
D013789,C0039730
D001602,C0005122
D013901,C1956395
D014069,C0040425
D008532,C0025162
D012772,C0036981
D014123,C0040558
D017096,C0162534
D014205,C0040830
D014235,C2713585
D014246,C0040922
D014257,C0040954
D014262,C0040961
D014286,C0041022
D013182,C0038054
D014376,C0041296
D014390,C0751568
D014406,C0041351
D003922,C0342302
D003924,C0011860
D014435,C0041466
D003093,C0009324
D014523,C0700101
D016055,C0080274
D014596,C0205990
D014605,C0042164
D002181,C0006852
D014627,C0042267
D014657,C0042384
D014693,C0042510
D020217,C0338586
D009464,C0027859
D014813,C0042880
D045822,C0042961
D014839,C0042963
D014901,C0751583
D018980,C0175702
D008232,C0549463
D014997,C0043379
D014983,C0043346
D015004,C0043395
D004890,C0041834
D058627,C0221355
D002921,C2004491
D011596,C5441816
D017689,C0152427
D003371,C0010200
D004417,C0085619
D007565,C0242183
D006474,C0019087
D003288,C0009938
D003141,C0009450
D006470,C0019080
D005221,C0086525
D000855,C0003123
D003490,C0010520
D003231,C0009763
D014552,C0042029
D012220,C0035455
D015746,C0000737
D023341,C0085593
D063806,C0231528
D006261,C0877781
D020795,C0085636
D008831,C0025958
D003221,C0233407
D018771,C0003862
D001259,C0750937
D001007,C0027769
D003128,C0860634
D007040,C3203358
D003233,C0022577
D004487,C0013604
D000505,C0002170
D000647,C0002622
D018888,C0282513
D012131,C0340194
D005207,C0541957
D009128,C0026838
D003680,C0011168
D018908,C0151786
D010167,C0030232
D008607,C0917816
D001416,C0750949
D013851,C0041667
D013610,C0080203
D005076,C0015230
D014581,C0042109
D017495,C0162834
D003967,C0011991
D011537,C0033774
D000787,C0002962
D009325,C0027497
D002178,C0006845
D011141,C0032617
D019522,C0227791
D053159,C0013428
D013684,C1138421
D001768,C0005758
D014549,C0042024
D034381,C1384666
D003863,C0086132
D002658,C0085996
D006417,C0018965
D010146,C0458257
D016728,C0085271
D005414,C0016204
D006323,C0018790
D012798,C0013132
D009133,C0026846
D012883,C0037299
D010023,C0029455
D001919,C0428977
D013546,C0038990
D010292,C0392699
D009503,C0027947
D014202,C0751564
D017699,C0030794
D003560,C0010709
D037801,C0158461
D006469,C0019079
